Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
40,Maschi,432370,439998,457723,490976,486880,488108,480755,481082,486346,473709,476599,474635,470309,473835,454769,434372,415837,404602,383170,372215,362241,362798,353623
40,Femmine,435359,442069,459547,488695,484224,485635,481438,482952,489586,478147,483711,478572,475396,476897,457715,436419,417390,403489,383701,369202,361207,360668,349773
40,Totale,867729,882067,917270,979671,971104,973743,962193,964034,975932,951856,960310,953207,945705,950732,912484,870791,833227,808091,766871,741417,723448,723466,703396
41,Maschi,418288,433225,443012,460659,492378,487497,490373,483131,482058,486811,473604,478236,475791,469871,473527,454456,433945,416373,403881,381514,372928,363755,364746
41,Femmine,422817,435946,446588,462906,490626,485734,489863,486025,486062,492373,479402,485550,479722,475376,476626,457395,436186,417606,403611,382824,369016,363732,362336
41,Totale,841105,869171,889600,923565,983004,973231,980236,969156,968120,979184,953006,963786,955513,945247,950153,911851,870131,833979,807492,764338,741944,727487,727082
42,Maschi,409871,419136,435760,445520,461575,493251,489613,491825,483954,482861,486491,475248,479048,475287,469437,472913,453757,434347,415526,402265,382441,374326,365493
42,Femmine,411070,423380,440128,449790,464407,492444,490036,493135,489262,489361,493757,481085,486621,479818,475114,476278,457176,436238,417680,402664,382644,371342,365254
42,Totale,820941,842516,875888,895310,925982,985695,979649,984960,973216,972222,980248,956333,965669,955105,944551,949191,910933,870585,833206,804929,765085,745668,730747
43,Maschi,391514,410671,421790,438022,446377,462179,495533,491003,491911,484452,482755,487731,475921,478441,474884,468875,472198,453871,433364,413967,403045,383399,375778
43,Femmine,393856,411876,427543,443048,450933,465487,496959,493334,495515,492624,491145,495378,482175,486782,479524,474618,475962,457197,436100,417088,402520,385004,372880
43,Totale,785370,822547,849333,881070,897310,927666,992492,984337,987426,977076,973900,983109,958096,965223,954408,943493,948160,911068,869464,831055,805565,768403,748658
44,Maschi,387490,392243,412856,423870,438555,446767,463954,496971,491048,491850,484173,484038,488216,475327,477838,474374,468199,472267,453257,431541,414855,403869,384578
44,Femmine,390625,394841,416218,430326,443897,451975,469596,500571,495552,498202,494596,492747,496315,482280,486396,478948,474308,476041,457174,435290,417187,404671,386392
44,Totale,778115,787084,829074,854196,882452,898742,933550,997542,986600,990052,978769,976785,984531,957607,964234,953322,942507,948308,910431,866831,832042,808540,770970
45,Maschi,383939,388256,394084,414488,424416,438494,448265,464929,497244,491111,491314,485085,484426,487372,474512,477057,473559,468310,471358,451779,432706,415445,405094
45,Femmine,389134,391550,399170,419149,431069,444451,455810,472798,503045,498246,499410,496062,493857,496417,481890,485881,478447,474216,475833,456301,435229,419171,406122
45,Totale,773073,779806,793254,833637,855485,882945,904075,937727,1000289,989357,990724,981147,978283,983789,956402,962938,952006,942526,947191,908080,867935,834616,811216
46,Maschi,378601,384351,390153,395662,414955,424553,439688,448893,464886,497280,490521,491914,485241,483508,486455,473526,476223,473273,467247,469477,452800,433164,416439
46,Femmine,385440,389609,395790,402090,420317,431844,448052,458766,474752,505896,499519,500496,497040,493744,496009,481415,485328,478371,474137,474653,456347,437072,420285
46,Totale,764041,773960,785943,797752,835272,856397,887740,907659,939638,1003176,990040,992410,982281,977252,982464,954941,961551,951644,941384,944130,909147,870236,836724
47,Maschi,373714,378853,385739,391635,395992,414912,425787,440118,448706,464579,496739,490987,491658,484199,482453,485398,472493,475915,472445,465176,470567,453026,433727
47,Femmine,382686,385681,393117,398808,403259,421228,435261,450822,460538,477191,507206,500493,500972,496971,493334,495362,480790,484958,477972,472837,474641,458033,438351
47,Totale,756400,764534,778856,790443,799251,836140,861048,890940,909244,941770,1003945,991480,992630,981170,975787,980760,953283,960873,950417,938013,945208,911059,872078
48,Maschi,360223,373916,379828,386663,392042,396063,416045,426319,439708,448104,463790,496794,490621,490430,483006,481428,484335,471964,474990,470361,466435,470558,453538
48,Femmine,366465,382940,388804,395331,399928,404105,424935,438019,452596,462956,478411,508165,500749,500680,496528,492690,494802,480428,484718,476386,473075,476322,459117
48,Totale,726688,756856,768632,781994,791970,800168,840980,864338,892304,911060,942201,1004959,991370,991110,979534,974118,979137,952392,959708,946747,939510,946880,912655
49,Maschi,357894,360227,374653,380393,386670,392193,396829,416395,425889,438935,447093,463707,496284,489330,489062,481861,480303,483524,470760,472664,471355,466458,470974
49,Femmine,367808,366647,385857,390794,396119,400913,407729,427813,439569,454693,464036,479248,508508,500229,500049,495995,492006,494321,480305,482867,476715,474728,477197
49,Totale,725702,726874,760510,771187,782789,793106,804558,844208,865458,893628,911129,942955,1004792,989559,989111,977856,972309,977845,951065,955531,948070,941186,948171
50,Maschi,358245,357512,360668,375107,380353,386436,392965,397045,415954,425185,438002,446959,463119,494798,487896,487824,480580,479538,482299,468171,473646,471103,466626
50,Femmine,370295,367501,369278,387726,391288,396592,404287,410535,429559,441620,455521,464796,479485,507939,499459,499262,495334,491414,494026,478082,483171,478132,475508
50,Totale,728540,725013,729946,762833,771641,783028,797252,807580,845513,866805,893523,911755,942604,1002737,987355,987086,975914,970952,976325,946253,956817,949235,942134
51,Maschi,373760,357837,357415,360983,374862,380016,386760,393165,396499,415185,424271,437670,446108,461668,493112,486370,486478,479659,478051,479429,469300,473237,471116
51,Femmine,386595,369751,369567,370766,388098,391722,399249,407180,412359,431636,442372,456235,464957,479116,506986,498679,498410,494767,490930,491151,478407,484471,478896
51,Totale,760355,727588,726982,731749,762960,771738,786009,800345,808858,846821,866643,893905,911065,940784,1000098,985049,984888,974426,968981,970580,947707,957708,950012
52,Maschi,376649,373104,357542,357060,360499,374289,380077,386619,392751,395693,414236,423741,436677,444572,459958,491565,484758,485399,478289,474659,480540,468571,473088
52,Femmine,386417,386000,371308,370502,370966,388358,394014,401415,409143,414395,432383,443104,456328,464282,478271,506056,497597,497603,494239,487595,491553,479621,485090
52,Totale,763066,759104,728850,727562,731465,762647,774091,788034,801894,810088,846619,866845,893005,908854,938229,997621,982355,983002,972528,962254,972093,948192,958178
53,Maschi,394008,375899,372660,356991,356134,359774,374124,379743,385779,392077,394705,413569,422531,435068,442921,458371,489902,483386,483736,475015,475775,479794,468230
53,Femmine,405554,386387,387108,372136,370252,371017,390083,395775,402734,411259,415177,432864,443089,455881,463407,477327,504982,496845,497079,490597,487952,492654,479854
53,Totale,799562,762286,759768,729127,726386,730791,764207,775518,788513,803336,809882,846433,865620,890949,906328,935698,994884,980231,980815,965612,963727,972448,948084
54,Maschi,386053,393241,375286,371915,356039,355056,359231,373443,378780,384671,391094,393806,412256,420784,433153,441100,456695,488422,481769,479767,476000,474908,479187
54,Femmine,397265,405584,387904,387512,371719,369884,372385,391588,396767,404190,411933,415553,432943,442327,454903,462369,476246,503941,496286,493209,490893,488974,492932
54,Totale,783318,798825,763190,759427,727758,724940,731616,765031,775547,788861,803027,809359,845199,863111,888056,903469,932941,992363,978055,972976,966893,963882,972119
55,Maschi,387731,385362,392493,374437,370733,354803,354195,358474,372378,377585,383438,389887,392437,410440,418786,431260,439536,455137,486783,477592,481069,474832,474087
