Età,Anno,Totale maschi,Totale femmine,Totale
32,1991,396007,394905,790912
33,1991,395027,394234,789261
34,1991,390209,391161,781370
35,1991,384760,385918,770678
36,1991,382231,385515,767746
37,1991,367667,368178,735845
38,1991,366262,369370,735632
39,1991,367520,370992,738512
40,1991,383906,387715,771621
41,1991,388710,391990,780700
42,1991,410016,414580,824596
43,1991,404577,408230,812807
44,1991,408862,414484,823346
45,1991,319170,324202,643372
46,1991,330139,335597,665736
47,1991,335022,343393,678415
48,1991,336974,346766,683740
49,1991,340972,351591,692563
50,1991,376812,390985,767797
51,1991,374879,387587,762466
52,1991,367108,381553,748661
53,1991,343005,358580,701585
54,1991,327907,347472,675379
55,1991,338434,358251,696685
56,1991,332018,353586,685604
57,1991,328367,350995,679362
58,1991,319650,347461,667111
59,1991,324284,353176,677460
60,1991,337236,371678,708914
61,1991,309152,343318,652470
62,1991,306893,343774,650667
63,1991,302884,344567,647451
64,1991,292097,340780,632877
65,1991,284614,336495,621109
66,1991,275903,332042,607945
67,1991,268913,331395,600308
68,1991,254315,328869,583184
69,1991,244807,320914,565721
70,1991,238524,317156,555680
71,1991,150529,202666,353195
72,1991,112319,155041,267360
73,1991,115656,159321,274977
74,1991,138956,196220,335176
75,1991,167275,240138,407413
76,1991,163814,240161,403975
77,1991,156574,233909,390483
78,1991,147203,224826,372029
79,1991,124564,201023,325587
80,1991,117048,193072,310120
81,1991,98420,168948,267368
82,1991,86134,154720,240854
83,1991,68365,129368,197733
84,1991,57710,116727,174437
85,1991,207439,493903,701342
99,1991,27547371,29196748,56744119
0,1992,262256,248552,510808
1,1992,267914,255186,523100
2,1992,270613,257770,528383
3,1992,273681,259784,533465
4,1992,267722,254547,522269
5,1992,270798,257606,528404
6,1992,281702,269742,551444
7,1992,286983,274275,561258
8,1992,295917,281761,577678
9,1992,305422,293124,598546
10,1992,313202,300206,613408
11,1992,319714,305720,625434
12,1992,332506,318337,650843
13,1992,355326,340988,696314
14,1992,370807,356648,727455
15,1992,392536,377406,769942
16,1992,416912,401499,818411
17,1992,438772,423229,862001
18,1992,441511,426877,868388
19,1992,450360,433544,883904
20,1992,460945,444275,905220
21,1992,454934,439331,894265
22,1992,468311,453934,922245
23,1992,463382,449275,912657
24,1992,467341,456533,923874
25,1992,481109,471264,952373
26,1992,481513,472924,954437
27,1992,490713,481519,972232
28,1992,458353,454135,912488
29,1992,444260,441127,885387
30,1992,439555,435390,874945
31,1992,423459,421057,844516
32,1992,416447,412509,828956
33,1992,398553,397783,796336
34,1992,397319,396877,794196
35,1992,392590,393890,786480
36,1992,387243,388718,775961
37,1992,384580,388089,772669
38,1992,369708,370798,740506
39,1992,368312,371848,740160
40,1992,369332,373152,742484
