Età,Sesso,Anno,Totale
38,Maschi,2006,475515
38,Femmine,2006,472746
39,Maschi,2006,487387
39,Femmine,2006,484183
4,Maschi,2006,277441
4,Femmine,2006,262690
40,Maschi,2006,486880
40,Femmine,2006,484224
41,Maschi,2006,492378
41,Femmine,2006,490626
42,Maschi,2006,461575
42,Femmine,2006,464407
43,Maschi,2006,446377
43,Femmine,2006,450933
44,Maschi,2006,438555
44,Femmine,2006,443897
45,Maschi,2006,424416
45,Femmine,2006,431069
46,Maschi,2006,414955
46,Femmine,2006,420317
47,Maschi,2006,395992
47,Femmine,2006,403259
48,Maschi,2006,392042
48,Femmine,2006,399928
49,Maschi,2006,386670
49,Femmine,2006,396119
5,Maschi,2006,281795
5,Femmine,2006,265491
50,Maschi,2006,380353
50,Femmine,2006,391288
51,Maschi,2006,374862
51,Femmine,2006,388098
52,Maschi,2006,360499
52,Femmine,2006,370966
53,Maschi,2006,356134
53,Femmine,2006,370252
54,Maschi,2006,356039
54,Femmine,2006,371719
55,Maschi,2006,370733
55,Femmine,2006,386857
56,Maschi,2006,373156
56,Femmine,2006,388456
57,Maschi,2006,390110
57,Femmine,2006,407359
58,Maschi,2006,382254
58,Femmine,2006,398942
59,Maschi,2006,382853
59,Femmine,2006,402724
6,Maschi,2006,278094
6,Femmine,2006,263408
60,Maschi,2006,297257
60,Femmine,2006,315168
61,Maschi,2006,304815
61,Femmine,2006,325030
62,Maschi,2006,307286
62,Femmine,2006,332085
63,Maschi,2006,305216
63,Femmine,2006,332775
64,Maschi,2006,306656
64,Femmine,2006,337812
65,Maschi,2006,336566
65,Femmine,2006,373404
66,Maschi,2006,331291
66,Femmine,2006,368160
67,Maschi,2006,319595
67,Femmine,2006,358951
68,Maschi,2006,293170
68,Femmine,2006,334367
69,Maschi,2006,274546
69,Femmine,2006,320704
7,Maschi,2006,276553
7,Femmine,2006,260177
70,Maschi,2006,278203
70,Femmine,2006,328968
71,Maschi,2006,266279
71,Femmine,2006,321104
72,Maschi,2006,255973
72,Femmine,2006,314310
73,Maschi,2006,241826
73,Femmine,2006,306840
74,Maschi,2006,237340
74,Femmine,2006,308467
75,Maschi,2006,237669
75,Femmine,2006,317998
76,Maschi,2006,209551
76,Femmine,2006,288040
77,Maschi,2006,197589
77,Femmine,2006,281336
78,Maschi,2006,187874
78,Femmine,2006,273248
79,Maschi,2006,170586
79,Femmine,2006,261379
8,Maschi,2006,275112
8,Femmine,2006,259534
80,Maschi,2006,157199
80,Femmine,2006,251114
81,Maschi,2006,142361
81,Femmine,2006,237869
82,Maschi,2006,124189
82,Femmine,2006,228040
