Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
89,Maschi,78153.32,79176.16,81390.57,84795.56,84348.17,85371.01,87585.43,90990.42,90543.02,91565.86
90,Femmine,126437.05,123850.36,122588.29,122651.98,125886.04,123299.35,122037.29,122100.97,125335.04,122748.35
90,Maschi,66783.06,67473.09,68795.55,70751.12,74193.14,74883.17,76205.62,78161.19,81603.21,82293.24
91,Femmine,109820.18,112136.68,113058.16,112585.74,115438.6,117755.1,118676.58,118204.16,121057.03,123373.52
91,Maschi,51928.81,54270.36,55842.81,56646.29,58317.16,60658.7,62231.16,63034.63,64705.5,67047.04
92,Femmine,91475.85,93699.65,95412.67,96614.01,97081.75,99305.55,101018.57,102219.91,102687.65,104911.45
92,Maschi,39919.88,41658.94,43346.69,44982.32,45174.43,46913.49,48601.24,50236.86,50428.98,52168.04
93,Femmine,75291.21,75702.04,77121.48,79549.33,80137.59,80548.42,81967.86,84395.7,84983.97,85394.8
93,Maschi,30131.89,30661.61,31686.59,33206.67,33813.24,34342.96,35367.94,36888.02,37494.6,38024.32
94,Femmine,56148.98,56584.16,57018.14,57452.09,57408.02,57843.2,58277.18,58711.14,58667.07,59102.25
94,Maschi,20929.85,21611.12,22198.19,22691.3,23109.85,23791.11,24378.19,24871.29,25289.85,25971.11
95,Femmine,47991.34,48459.16,49210.46,50245.97,53209.77,53677.59,54428.89,55464.4,58428.2,58896.02
95,Maschi,15536.11,15936.61,16447.74,17069.57,17742.44,18142.94,18654.07,19275.9,19948.77,20349.27
96,Femmine,39942.78,39914.98,39950.57,40051.5,46428.17,46400.37,46435.97,46536.9,52913.57,52885.77
96,Maschi,11751.2,11887.33,12064.48,12283.1,13924.61,14060.74,14237.89,14456.51,16098.02,16234.15
97,Femmine,28418.56,29399.48,30261.81,31006.24,34196.75,35177.68,36040.0,36784.43,39974.95,40955.87
97,Maschi,7659.11,7941.02,8193.6,8417.04,9289.19,9571.1,9823.68,10047.12,10919.28,11201.19
98,Femmine,18402.89,19835.06,21198.48,22492.73,22540.29,23972.47,25335.88,26630.14,26677.69,28109.87
98,Maschi,4592.9,4939.13,5266.08,5573.69,5644.46,5990.69,6317.64,6625.25,6696.02,7042.25
99,Femmine,11653.42,12532.84,13421.8,14319.93,14003.28,14882.7,15771.66,16669.78,16353.13,17232.56
99,Maschi,2695.43,2917.98,3143.65,3372.33,3264.09,3486.65,3712.31,3940.99,3832.75,4055.31
