Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
71,Femmine,349651.15,358618.35,362329.09,360781.34,356122.9,365090.11,368800.84,367253.1,362594.66,371561.86,375272.6,373724.85,369066.41,378033.62,381744.35,380196.61
71,Maschi,318030.06,326530.24,330650.42,330389.39,329151.96,337652.13,341772.32,341511.29,340273.85,348774.03,352894.21,352633.19,351395.75,359895.93,364016.11,363755.08
72,Femmine,347892.72,351724.82,356267.52,361516.35,354844.77,358676.87,363219.56,368468.39,361796.81,365628.91,370171.61,375420.44,368748.86,372580.96,377123.65,382372.48
72,Maschi,313700.98,318201.8,323367.45,329194.48,325834.16,330334.98,335500.63,341327.66,337967.34,342468.16,347633.81,353460.84,350100.52,354601.34,359766.99,365594.02
73,Femmine,350550.56,347559.7,349547.56,356514.69,358124.6,355133.74,357121.6,364088.73,365698.64,362707.78,364695.64,371662.77,373272.68,370281.82,372269.68,379236.81
73,Maschi,313079.08,311782.74,314818.21,322186.34,326273.19,324976.85,328012.31,335380.45,339467.3,338170.96,341206.42,348574.56,352661.41,351365.07,354400.53,361768.67
74,Femmine,350785.31,347645.3,343410.76,338089.07,358539.83,355399.82,351165.27,345843.58,366294.34,363154.33,358919.79,353598.09,374048.86,370908.85,366674.3,361352.61
74,Maschi,309690.07,308896.49,307144.49,304440.39,323642.81,322849.22,321097.23,318393.12,337595.54,336801.95,335049.96,332345.86,351548.27,350754.68,349002.69,346298.59
75,Femmine,323937.41,334664.29,339904.93,339655.56,331028.23,341755.11,346995.75,346746.38,338119.05,348845.93,354086.56,353837.2,345209.87,355936.75,361177.38,360928.02
75,Maschi,282874.85,293475.79,299571.63,301159.42,296511.9,307112.84,313208.68,314796.47,310148.96,320749.89,326845.73,328433.52,323786.01,334386.94,340482.78,342070.57
76,Femmine,311204.93,317011.31,323320.63,330125.95,316771.45,322577.82,328887.15,335692.47,322337.96,328144.33,334453.66,341258.98,327904.47,333710.85,340020.17,346825.49
76,Maschi,267412.32,274189.38,281609.21,289665.82,280102.47,286879.53,294299.36,302355.97,292792.63,299569.68,306989.52,315046.13,305482.78,312259.84,319679.67,327736.28
77,Femmine,306344.11,303217.44,306227.52,315372.72,310846.64,307719.97,310730.05,319875.25,315349.17,312222.5,315232.58,324377.78,319851.7,316725.03,319735.11,328880.31
77,Maschi,258955.46,258293.14,262550.37,271726.06,270960.46,270298.14,274555.37,283731.06,282965.46,282303.14,286560.37,295736.06,294970.46,294308.14,298565.37,307741.06
78,Femmine,272752.6,266294.23,259060.35,251054.56,255510.56,249052.19,241818.31,233812.52,238268.51,231810.15,224576.26,216570.47,221026.47,214568.1,207334.22,199328.43
