id,Età,Celibi,Coniugati,Divorziati,Vedovi,Uniti civilmente,Maschi già in unione civile (per scioglimento unione),Maschi già in unione civile (per decesso del partner),Totale maschi,Nubili,Coniugate,Divorziate,Vedove,Unite civilmente,Femmine già in unione civile (per scioglimento unione),Femmine già in unione civile (per decesso del partner),Totale femmine,Totale
26,87,196,3121,82,1288,1,0,0,4688,413,1571,190,5403,0,0,0,7577,12265
26,88,175,2606,73,1252,1,0,0,4107,368,1267,173,5191,0,0,0,6999,11106
26,89,135,2109,52,1067,2,0,0,3365,305,913,129,4800,0,0,0,6147,9512
26,90,94,1566,40,954,1,0,0,2655,265,650,108,4087,0,0,0,5110,7765
26,91,84,1161,26,828,0,0,0,2099,277,498,75,3601,0,0,0,4451,6550
26,92,67,872,16,723,0,0,0,1678,213,304,68,3201,0,0,0,3786,5464
26,93,46,642,9,582,0,0,0,1279,208,228,55,2724,0,0,0,3215,4494
26,94,34,409,5,405,0,0,0,853,163,127,41,2005,0,0,0,2336,3189
26,95,21,261,7,284,0,0,0,573,119,86,21,1487,0,0,0,1713,2286
26,96,17,149,1,200,0,0,0,367,93,56,19,1071,0,0,0,1239,1606
26,97,10,83,1,145,0,0,0,239,59,20,9,778,0,0,0,866,1105
26,98,5,41,0,83,0,0,0,129,51,16,11,517,0,0,0,595,724
26,99,7,23,0,59,1,0,0,90,29,6,7,378,0,0,0,420,510
26,100,9,23,2,77,0,0,0,111,57,10,7,519,0,0,0,593,704
26,999,515347,476764,46071,32415,1350,38,37,1072022,438392,485170,67490,140851,867,41,4,1132815,2204837
27,0,480,0,0,0,0,0,0,480,468,0,0,0,0,0,0,468,948
27,1,475,0,0,0,0,0,0,475,520,0,0,0,0,0,0,520,995
27,2,539,0,0,0,0,0,0,539,495,0,0,0,0,0,0,495,1034
27,3,520,0,0,0,0,0,0,520,517,0,0,0,0,0,0,517,1037
27,4,573,0,0,0,0,0,0,573,482,0,0,0,0,0,0,482,1055
27,5,560,0,0,0,0,0,0,560,580,0,0,0,0,0,0,580,1140
27,6,583,0,0,0,0,0,0,583,594,0,0,0,0,0,0,594,1177
27,7,638,0,0,0,0,0,0,638,566,0,0,0,0,0,0,566,1204
27,8,657,0,0,0,0,0,0,657,618,0,0,0,0,0,0,618,1275
27,9,685,0,0,0,0,0,0,685,613,0,0,0,0,0,0,613,1298
27,10,643,0,0,0,0,0,0,643,667,0,0,0,0,0,0,667,1310
27,11,721,0,0,0,0,0,0,721,701,0,0,0,0,0,0,701,1422
27,12,701,0,0,0,0,0,0,701,629,0,0,0,0,0,0,629,1330
27,13,738,0,0,0,0,0,0,738,648,0,0,0,0,0,0,648,1386
27,14,770,0,0,0,0,0,0,770,710,0,0,0,0,0,0,710,1480
27,15,724,0,0,0,0,0,0,724,706,0,0,0,0,0,0,706,1430
27,16,774,0,0,0,0,0,0,774,741,0,0,0,0,0,0,741,1515
27,17,756,0,0,0,0,0,0,756,707,0,0,0,0,0,0,707,1463
27,18,740,0,0,0,0,0,0,740,706,1,0,0,0,0,0,707,1447
27,19,758,0,0,0,0,0,0,758,676,2,0,0,0,0,0,678,1436
27,20,809,0,0,0,0,0,0,809,677,10,0,0,0,0,0,687,1496
27,21,771,3,0,0,0,0,0,774,691,16,0,0,0,0,0,707,1481
27,22,770,8,1,0,1,0,0,780,671,14,0,0,0,0,0,685,1465
27,23,840,9,0,0,0,0,0,849,690,24,2,0,0,0,0,716,1565
27,24,826,11,2,0,0,0,0,839,694,40,2,0,0,0,0,736,1575
27,25,838,9,4,0,0,0,0,851,680,53,2,0,0,0,0,735,1586
27,26,839,24,1,0,1,0,0,865,668,73,1,0,0,0,0,742,1607
27,27,803,41,1,1,1,0,0,847,656,97,7,1,0,0,0,761,1608
27,28,818,62,6,0,2,0,0,888,602,128,1,0,1,1,0,733,1621
27,29,774,70,5,0,0,1,0,850,563,143,3,1,0,0,0,710,1560
